Rowid,Country,State lgd code,State,District lgd code,District,Year,Type of residence namely rural or urban,Number of census houses,Houses having grass or thatch or bamboo etc. as material of wall,Houses having plastic or polythene as material of wall,Houses having mud or unburnt brick as material of wall,Houses having wood as material of wall,Houses having stone not packed with mortar as material of wall,Houses having stone packed with mortar as material of wall,Houses having galvanized iron (gi) sheets or metal or asbestos sheets as material of wall,Houses having burnt brick as material of wall,Houses having concrete as material of wall,Houses having any other material of wall
101,India,3,Punjab,608,S.A.S Nagar,2011,Rural,75884.08304,1169.482666,37.66597747,4751.425255,50.52753075,713.8162071,638.4842522,130.4528976,62441.00382,5885.079309,66.14513116
102,India,3,Punjab,608,S.A.S Nagar,2011,Urban,114500,405,311,2703,49,613,952,73,100954,8284,156
103,India,3,Punjab,609,Tarn Taran,2011,Rural,175128.0392,2031.733672,326.0766048,16443.90745,221.0153917,2040.291204,1688.321811,74.01468406,144044.6204,7745.929873,512.1280875
104,India,3,Punjab,609,Tarn Taran,2011,Urban,25967,184,39,1300,26,258,333,6,22072,1700,49
105,India,3,Punjab,651,Fazilka,2011,Rural,147871.4191,2258.347973,235.8004997,24340.27514,47.3779295,896.3686432,990.5799283,45.19963389,115800.9175,2862.280431,394.2715053
106,India,3,Punjab,651,Fazilka,2011,Urban,49782.53492,220.2187532,104.2886166,2456.845781,17.94734332,413.2739597,362.827373,16.97721665,43450.51817,2696.952131,42.6855733
107,India,3,Punjab,662,Pathankot,2011,Rural,74085.76587,698.3088697,68.61165546,5109.775344,46.13954531,682.2915146,658.3850144,20.55959014,61080.39071,5487.258982,234.0446366
108,India,3,Punjab,662,Pathankot,2011,Urban,55315.58612,269.9344427,41.9492715,1522.029003,52.43658938,495.1837918,572.6987501,17.78284335,49526.13068,2742.66161,74.77913615
109,India,3,Punjab,737,Malerkotla,2011,Rural,49098.74121,139.521977,63.14965299,1496.441597,30.32095252,455.0422649,604.8232108,12.08278559,44381.89529,1846.158447,69.30503433
110,India,3,Punjab,737,Malerkotla,2011,Urban,32347.82001,124.5874503,94.09631111,825.2279271,23.27818149,205.5692929,230.1589213,11.8030216,29239.03527,1559.63816,34.42547967
111,India,4,Chandigarh,44,Chandigarh,2011,Rural,6785,85,11,16,5,18,140,31,5691,783,5
112,India,4,Chandigarh,44,Chandigarh,2011,Urban,228276,422,809,6903,189,1225,1838,1886,204387,10266,351
113,India,5,Uttarakhand,45,Almora,2011,Rural,126476,128,4,1123,734,14272,93330,78,15169,1538,100
114,India,5,Uttarakhand,45,Almora,2011,Urban,12781,8,5,233,96,1153,2850,159,8026,224,27
115,India,5,Uttarakhand,46,Bageshwar,2011,Rural,55748,79,24,582,263,6588,40508,72,6832,772,28
116,India,5,Uttarakhand,46,Bageshwar,2011,Urban,1964,0,0,85,4,45,374,9,1348,99,0
117,India,5,Uttarakhand,47,Chamoli,2011,Rural,72744,96,37,1247,360,25963,37113,215,6795,863,55
118,India,5,Uttarakhand,47,Chamoli,2011,Urban,13021,25,12,147,32,824,3334,430,8039,94,84
119,India,5,Uttarakhand,48,Champawat,2011,Rural,44386,886,44,694,1224,9797,20821,40,10281,553,46
120,India,5,Uttarakhand,48,Champawat,2011,Urban,7970,888,27,347,151,56,310,67,5881,207,36
121,India,5,Uttarakhand,49,Dehradun,2011,Rural,137051,1665,375,13899,2465,4095,11592,144,99875,2776,165
