Rowid,Country,State lgd code,State,District lgd code,District,Year,Type of residence namely rural or urban,Number of census houses,Houses having grass or thatch or bamboo etc. as material of wall,Houses having plastic or polythene as material of wall,Houses having mud or unburnt brick as material of wall,Houses having wood as material of wall,Houses having stone not packed with mortar as material of wall,Houses having stone packed with mortar as material of wall,Houses having galvanized iron (gi) sheets or metal or asbestos sheets as material of wall,Houses having burnt brick as material of wall,Houses having concrete as material of wall,Houses having any other material of wall
1125,India,27,Maharashtra,469,Aurangabad,2011,Urban,317467,1183,612,31761,591,8739,18212,5490,206713,43564,602
1126,India,27,Maharashtra,470,Beed,2011,Rural,445766.8081,33786.68475,2428.108832,102168.4246,2709.889363,29850.75031,68188.89009,10433.87343,180440.4613,12898.95346,2860.771846
1127,India,27,Maharashtra,470,Beed,2011,Urban,98959,1112,387,13352,594,2939,5115,5138,64464,5442,416
1128,India,27,Maharashtra,471,Bhandara,2011,Rural,223299,4048,688,153155,263,3108,5185,160,53302,3155,235
1129,India,27,Maharashtra,471,Bhandara,2011,Urban,52474,334,79,13482,86,1695,2985,53,32304,1402,54
1130,India,27,Maharashtra,472,Buldhana,2011,Rural,445247,57116,1350,162821,3228,13429,32509,2280,154950,14594,2970
1131,India,27,Maharashtra,472,Buldhana,2011,Urban,107784,5861,298,20969,1330,1954,2642,4129,65204,5038,359
1132,India,27,Maharashtra,473,Chandrapur,2011,Rural,352643,24542,879,169298,8685,8214,14245,242,120742,4910,886
1133,India,27,Maharashtra,473,Chandrapur,2011,Urban,176969,3756,591,35551,1091,5725,9885,249,101964,17971,186
1134,India,27,Maharashtra,474,Dhule,2011,Rural,298915,34495,1006,158895,1072,5553,6156,472,84055,6810,401
1135,India,27,Maharashtra,474,Dhule,2011,Urban,109785,1064,173,20409,2081,2436,2839,1081,73209,6363,130
1136,India,27,Maharashtra,475,Gadchiroli,2011,Rural,218935,20751,998,112217,11959,4681,7538,142,58280,1515,854
1137,India,27,Maharashtra,475,Gadchiroli,2011,Urban,26810,827,103,5883,187,1171,1736,28,15458,1336,81
1138,India,27,Maharashtra,476,Gondia,2011,Rural,241802,2557,422,195283,228,1892,2749,138,37023,1385,125
1139,India,27,Maharashtra,476,Gondia,2011,Urban,47629,249,119,16148,97,1654,2004,28,25539,1731,60
1140,India,27,Maharashtra,477,Hingoli,2011,Rural,195143,10022,447,77182,1448,8752,18417,753,69829,7957,336
1141,India,27,Maharashtra,477,Hingoli,2011,Urban,31898,434,69,6827,210,1058,1822,418,17954,3036,70
1142,India,27,Maharashtra,478,Jalgaon,2011,Rural,618314,74781,2379,248383,3757,15719,23908,1550,215203,30758,1876
1143,India,27,Maharashtra,478,Jalgaon,2011,Urban,273343,5288,702,42418,14163,5416,11075,1174,173572,19004,531
1144,India,27,Maharashtra,479,Jalna,2011,Rural,317764.8751,22020.69099,1426.417291,107972.8065,1667.810986,13932.0072,29538.80786,3395.471649,121752.197,14923.51685,1135.148865
1145,India,27,Maharashtra,479,Jalna,2011,Urban,69553,485,191,13241,336,2238,3433,1611,42578,5296,144
1146,India,27,Maharashtra,480,Kolhapur,2011,Rural,556628,8041,1378,172272,2822,29786,135009,1118,179689,24786,1727
1147,India,27,Maharashtra,480,Kolhapur,2011,Urban,264855,1770,1225,37273,1222,10140,35949,2547,132486,41132,1111
1150,India,27,Maharashtra,482,Mumbai,2011,Rural,0,0,0,0,0,0,0,0,0,0,0
1151,India,27,Maharashtra,482,Mumbai,2011,Urban,2665481,4658,24474,56860,9829,48584,148484,72824,1736398,550734,12636
1152,India,27,Maharashtra,484,Nagpur,2011,Rural,324568,20773,1099,157285,1333,7315,12477,1022,111906,10876,482
1153,India,27,Maharashtra,484,Nagpur,2011,Urban,671240,15041,3343,87096,7947,18989,29159,5958,436040,66474,1193
1154,India,27,Maharashtra,485,Nanded,2011,Rural,487624,50070,1862,152781,12480,37055,115007,1337,100664,14145,2223
1155,India,27,Maharashtra,485,Nanded,2011,Urban,168679,4159,612,42384,1105,5903,13462,2135,86017,12613,289
1156,India,27,Maharashtra,486,Nandurbar,2011,Rural,270533,132499,874,71884,1672,2985,3300,250,53321,3241,507
1157,India,27,Maharashtra,486,Nandurbar,2011,Urban,49090,4874,189,9678,628,948,2076,213,27535,2890,59
1158,India,27,Maharashtra,487,Nashik,2011,Rural,661977,55051,2814,256436,2773,23436,48261,5096,230129,36451,1530
1159,India,27,Maharashtra,487,Nashik,2011,Urban,518316,3666,1873,77347,29919,9504,27170,20205,281456,65915,1261
1160,India,27,Maharashtra,488,Osmanabad,2011,Rural,294816,17401,919,61031,2049,18838,53506,11818,115230,13018,1006
1161,India,27,Maharashtra,488,Osmanabad,2011,Urban,53944,718,143,7149,466,3133,6487,4423,28016,3241,168
1162,India,27,Maharashtra,489,Parbhani,2011,Rural,256063,18352,856,83839,1958,16877,40849,2041,83123,7423,745
1163,India,27,Maharashtra,489,Parbhani,2011,Urban,104123,1799,445,19325,5703,3553,4880,2649,59172,6289,308
1164,India,27,Maharashtra,490,Pune,2011,Rural,744114,29020,2316,98780,2843,37740,129428,14488,307590,119530,2379
1165,India,27,Maharashtra,490,Pune,2011,Urban,1332493,2393,3854,63799,1842,18397,59729,82969,776940,318509,4061
1166,India,27,Maharashtra,491,Raigad,2011,Rural,376520,18987,1190,74705,1688,8475,30203,1350,206024,32548,1350
1167,India,27,Maharashtra,491,Raigad,2011,Urban,219994,1601,1456,10578,494,3208,11978,2775,134870,52286,748
1168,India,27,Maharashtra,492,Ratnagiri,2011,Rural,333645,3769,933,123672,1627,23118,151646,672,17861,9164,1183
1169,India,27,Maharashtra,492,Ratnagiri,2011,Urban,59734,398,949,4959,180,4287,31239,181,9465,7772,304
1170,India,27,Maharashtra,493,Sangli,2011,Rural,432579,22216,1187,62467,2790,34524,138136,2187,135124,32482,1466
1171,India,27,Maharashtra,493,Sangli,2011,Urban,152648,2426,615,16733,1306,5611,15640,9653,75883,24203,578
1172,India,27,Maharashtra,494,Satara,2011,Rural,518187,19689,1441,93556,1846,31650,129604,4131,187564,46919,1787
1173,India,27,Maharashtra,494,Satara,2011,Urban,121812,1126,662,12723,296,2460,9405,5489,59081,30105,465
1174,India,27,Maharashtra,495,Sindhudurg,2011,Rural,180494,2910,487,71781,2157,14520,77707,181,4853,5015,883
1175,India,27,Maharashtra,495,Sindhudurg,2011,Urban,24625,387,196,7060,100,2427,10177,56,1462,2601,159
1176,India,27,Maharashtra,496,Solapur,2011,Rural,583706,56313,1534,56791,3468,47035,160471,34665,194097,27120,2212
1177,India,27,Maharashtra,496,Solapur,2011,Urban,275275,1960,721,33084,984,9140,28905,35651,138563,25548,719
1178,India,27,Maharashtra,497,Thane,2011,Rural,236660.4028,55003.17632,1079.904117,40718.49958,2057.302765,3571.506373,9641.808367,1067.315726,107869.0237,14956.8069,695.0590197
1179,India,27,Maharashtra,497,Thane,2011,Urban,1548087.741,12536.11741,7690.769826,43322.77307,5816.043059,25698.22772,77111.75568,38305.0742,1031844.41,300906.6538,4855.916297
1180,India,27,Maharashtra,498,Wardha,2011,Rural,210284,20165,1316,99420,769,5019,7724,693,68771,5745,662
1181,India,27,Maharashtra,498,Wardha,2011,Urban,92396,2692,536,17515,278,1534,2848,155,61417,5200,221
1182,India,27,Maharashtra,499,Washim,2011,Rural,217490,19477,811,94441,1408,6282,10785,585,75964,6771,966
1183,India,27,Maharashtra,499,Washim,2011,Urban,40402,1278,163,11067,201,1436,2260,386,19482,3963,166
1184,India,27,Maharashtra,500,Yavatmal,2011,Rural,513041,78982,1775,212805,18929,11797,20624,1063,151986,12537,2543
1185,India,27,Maharashtra,500,Yavatmal,2011,Urban,127344,6636,500,22692,8393,2339,3759,756,70668,11353,248
1186,India,27,Maharashtra,665,Palghar,2011,Rural,289736.5972,67338.82368,1322.095883,49850.50042,2518.697235,4372.493627,11804.19163,1306.684274,132060.9763,18311.1931,850.9409803
1187,India,27,Maharashtra,665,Palghar,2011,Urban,356131.2593,2883.882588,1769.230174,9966.226928,1337.956941,5911.772283,17739.24432,8811.925804,237371.5903,69222.3462,1117.083703
1188,India,28,Andhra Pradesh,502,Anantapur,2011,Rural,698439,8632,618,53347,2673,80167,157758,1182,374345,6839,12878
1189,India,28,Andhra Pradesh,502,Anantapur,2011,Urban,262726,1773,447,15630,759,20957,62290,606,149599,5914,4751
1190,India,28,Andhra Pradesh,503,Chittoor,2011,Rural,727635,15686,778,129768,569,12571,137167,409,422170,7204,1313
1191,India,28,Andhra Pradesh,503,Chittoor,2011,Urban,294481,1996,196,17547,128,3861,70683,260,191358,7747,705
1192,India,28,Andhra Pradesh,504,Y.S.R.,2011,Rural,475919,5397,734,53984,1275,56222,140740,441,208982,3574,4570
1193,India,28,Andhra Pradesh,504,Y.S.R.,2011,Urban,227217,885,360,9604,446,21619,62574,324,125679,3680,2046
1194,India,28,Andhra Pradesh,505,East Godavari,2011,Rural,1099584.023,111373.9127,2316.846797,169476.1419,11318.59293,14435.69674,146957.265,690.5109508,620867.9097,17316.2427,4830.903736
1195,India,28,Andhra Pradesh,505,East Godavari,2011,Urban,344366,9983,439,30019,599,8432,84568,338,194306,14379,1303
1196,India,28,Andhra Pradesh,506,Guntur,2011,Rural,877109,99703,3037,89774,3378,36956,285655,1632,335832,15034,6108
1197,India,28,Andhra Pradesh,506,Guntur,2011,Urban,410722,17186,1264,17941,858,11320,158864,1260,184531,15172,2326
1198,India,28,Andhra Pradesh,510,Krishna,2011,Rural,754361,107412,4006,120971,2921,16286,238258,918,250626,9783,3180
1199,India,28,Andhra Pradesh,510,Krishna,2011,Urban,472896,14967,1225,20188,810,16830,236064,1634,163120,16382,1676
1200,India,28,Andhra Pradesh,511,Kurnool,2011,Rural,630786,38515,1463,57220,4445,127808,362753,989,24213,5978,7402
1201,India,28,Andhra Pradesh,511,Kurnool,2011,Urban,246396,7284,929,13332,1608,24648,145258,784,42192,5759,4602
1202,India,28,Andhra Pradesh,515,Spsr Nellore,2011,Rural,567914,37396,872,73502,795,10254,158768,475,280270,3921,1661
1203,India,28,Andhra Pradesh,515,Spsr Nellore,2011,Urban,204711,3363,358,13185,138,3313,82778,316,96711,4226,323
1204,India,28,Andhra Pradesh,517,Prakasam,2011,Rural,692542,46559,1410,70292,1850,29519,155768,713,376624,5434,4373
1205,India,28,Andhra Pradesh,517,Prakasam,2011,Urban,164734,5943,224,7792,206,4967,42232,384,99178,2732,1076
1206,India,28,Andhra Pradesh,519,Srikakulam,2011,Rural,580048,24613,529,127684,2484,3173,55473,402,359093,5899,698
1207,India,28,Andhra Pradesh,519,Srikakulam,2011,Urban,109275,1990,112,9721,190,836,15612,53,79704,900,157
1208,India,28,Andhra Pradesh,520,Visakhapatanam,2011,Rural,583474,25817,983,166610,6779,7323,94138,502,274336,5474,1512
1209,India,28,Andhra Pradesh,520,Visakhapatanam,2011,Urban,542692,5317,614,30297,880,11734,161297,2819,307049,21156,1529
1210,India,28,Andhra Pradesh,521,Vizianagaram,2011,Rural,475145,26365,366,105300,2167,2776,36542,139,298271,2771,448
1211,India,28,Andhra Pradesh,521,Vizianagaram,2011,Urban,121460,2665,140,9499,174,1316,15850,70,89770,1566,410
1212,India,28,Andhra Pradesh,523,West Godavari,2011,Rural,887864.3539,114857.4782,2427.88145,131102.2158,2414.897801,17785.6339,158255.6008,766.7447776,443450.9475,13163.27974,3639.673923
1213,India,28,Andhra Pradesh,523,West Godavari,2011,Urban,205173,7750,365,19386,292,4825,45003,338,120510,6272,432
1214,India,29,Karnataka,524,Bagalkote,2011,Rural,238746,32195,652,25834,3851,64544,98531,4404,5568,2654,513
1215,India,29,Karnataka,524,Bagalkote,2011,Urban,116631,7254,437,11332,1898,30892,42767,1907,12603,7258,283
1216,India,29,Karnataka,525,Bengaluru Urban,2011,Rural,207628,2157,463,26097,362,17594,23957,936,112491,23307,264
1217,India,29,Karnataka,525,Bengaluru Urban,2011,Urban,2169428,8304,5072,79548,1504,115748,327404,12230,1165899,449657,4062
1218,India,29,Karnataka,526,Bengaluru Rural,2011,Rural,162398,2048,369,40965,525,7547,8605,295,94216,7629,199
1219,India,29,Karnataka,526,Bengaluru Rural,2011,Urban,118770.7823,1961.577072,334.3274158,13246.64418,686.4583925,15618.56136,23490.45079,1385.638184,52216.09138,9594.9683,236.0652199
1220,India,29,Karnataka,527,Belagavi,2011,Rural,708069,58399,1858,211831,9233,145200,157904,2035,98742,20928,1939
1221,India,29,Karnataka,527,Belagavi,2011,Urban,255756,5389,926,56966,1997,24314,36112,1045,89572,38776,659
1222,India,29,Karnataka,528,Ballari,2011,Rural,340481.7004,25983.89461,926.9427785,55324.56067,3225.57032,64268.08965,85501.83575,2000.682758,93888.11635,7435.92664,1926.080876
1223,India,29,Karnataka,528,Ballari,2011,Urban,199144.7598,10069.73653,639.5492783,22162.51364,1236.355994,25686.95901,45920.62628,744.170925,79339.52086,12332.87468,1012.452636
1224,India,29,Karnataka,529,Bidar,2011,Rural,237380,9924,680,40151,3335,67849,100674,2406,8793,2008,1560
1225,India,29,Karnataka,529,Bidar,2011,Urban,76141,819,196,11417,641,16672,37965,993,5245,1920,273
1226,India,29,Karnataka,530,Vijayapura,2011,Rural,307984,32241,817,41530,4740,100050,109915,5135,8776,3503,1277
1227,India,29,Karnataka,530,Vijayapura,2011,Urban,40668.21771,860.4229282,113.6725842,4747.355819,335.5416075,6949.438644,10801.54921,665.3618164,13036.90862,3053.0317,104.9347801
1228,India,29,Karnataka,531,Chamarajanagara,2011,Rural,203748,9669,226,78774,868,16324,13918,188,79158,4197,426
1229,India,29,Karnataka,531,Chamarajanagara,2011,Urban,40450,1064,43,11240,102,3676,2946,33,19210,2104,32
1230,India,29,Karnataka,532,Chikkamagaluru,2011,Rural,215334,8755,682,98964,1065,8918,16218,139,76152,4050,391
1231,India,29,Karnataka,532,Chikkamagaluru,2011,Urban,56839,684,135,13155,160,2516,5973,50,30480,3619,67
1232,India,29,Karnataka,533,Chitradurga,2011,Rural,282019,20006,602,68332,2816,49916,42047,318,93415,3251,1316
1233,India,29,Karnataka,533,Chitradurga,2011,Urban,72124,3461,178,11246,323,8064,7780,159,35066,5658,189
1234,India,29,Karnataka,534,Dakshina Kannada,2011,Rural,220806,2753,324,89305,958,25105,98511,52,1346,2269,183
1235,India,29,Karnataka,534,Dakshina Kannada,2011,Urban,204485,1107,290,32525,524,18863,141622,154,911,8192,297
1236,India,29,Karnataka,535,Davangere,2011,Rural,223830.2996,10088.10539,606.0572215,75181.43933,2587.42968,29276.91035,19497.16425,135.3172416,81807.88365,3715.07336,934.9191238
1237,India,29,Karnataka,535,Davangere,2011,Urban,123087.2402,4711.263471,342.4507217,24237.48636,646.6440058,8397.040993,10610.37372,155.829075,61022.47914,12469.12532,494.5473637
1238,India,29,Karnataka,536,Dharwad,2011,Rural,157960,12479,449,83386,1188,9663,8241,197,39188,2898,271
1239,India,29,Karnataka,536,Dharwad,2011,Urban,214094,4906,505,45704,1348,16013,22345,570,92034,30217,452
1240,India,29,Karnataka,537,Gadag,2011,Rural,137799,12763,362,37286,1937,33098,30748,745,18606,1581,673
1241,India,29,Karnataka,537,Gadag,2011,Urban,77803,5686,230,19122,535,11197,15809,174,20862,4042,146
1242,India,29,Karnataka,538,Kalaburagi,2011,Rural,311531,12433,829,22768,4653,130280,117032,3342,13618,4156,2420
1243,India,29,Karnataka,538,Kalaburagi,2011,Urban,153714,1199,210,6493,1351,30922,40445,1243,65007,6394,450
1244,India,29,Karnataka,539,Hassan,2011,Rural,339911,6286,468,192836,1455,9400,9159,572,113607,5969,159
1245,India,29,Karnataka,539,Hassan,2011,Urban,89381,587,67,17010,284,4181,4718,57,56798,5618,61
1246,India,29,Karnataka,540,Haveri,2011,Rural,254181,14946,540,115764,2408,43245,33683,207,40000,2828,560
1247,India,29,Karnataka,540,Haveri,2011,Urban,71275,1726,203,20234,483,8664,9425,96,26472,3860,112
1248,India,29,Karnataka,541,Kodagu,2011,Rural,118509,2517,549,51931,430,8534,14338,59,36463,3582,106
1249,India,29,Karnataka,541,Kodagu,2011,Urban,19794,219,33,5548,45,1139,2714,30,8662,1388,16
1250,India,29,Karnataka,542,Kolar,2011,Rural,226245,3032,372,58321,671,16698,21003,157,121050,4537,404
1251,India,29,Karnataka,542,Kolar,2011,Urban,104745,412,112,10966,187,9398,14537,3216,55035,10672,210
1252,India,29,Karnataka,543,Koppal,2011,Rural,213217,16814,595,43308,1781,50804,65290,654,26896,5296,1779
1253,India,29,Karnataka,543,Koppal,2011,Urban,46179,4932,204,5619,171,5800,11445,141,16174,1565,128
1254,India,29,Karnataka,544,Mandya,2011,Rural,354049,8283,329,119381,1300,37776,25492,134,146134,14797,423
1255,India,29,Karnataka,544,Mandya,2011,Urban,72529,1264,75,11266,105,4742,7243,69,37578,10149,38
1256,India,29,Karnataka,545,Mysuru,2011,Rural,401655,10014,673,176733,1668,23850,20297,248,149922,17814,436
1257,India,29,Karnataka,545,Mysuru,2011,Urban,286767,1955,282,38024,556,17178,36681,740,138178,52741,432
1258,India,29,Karnataka,546,Raichur,2011,Rural,264274,50345,1790,46074,3333,56616,73168,1111,23500,6478,1859
1259,India,29,Karnataka,546,Raichur,2011,Urban,95063,10102,350,10471,537,13032,15323,862,37140,6690,556
1260,India,29,Karnataka,547,Shivamogga,2011,Rural,257060,14588,630,119351,1073,16344,21270,173,80553,2688,390
1261,India,29,Karnataka,547,Shivamogga,2011,Urban,145079,2081,260,32612,554,11981,20205,156,67535,9521,174
1262,India,29,Karnataka,548,Tumakuru,2011,Rural,495885,18190,918,115530,2776,51732,38431,393,254866,11777,1272
1263,India,29,Karnataka,548,Tumakuru,2011,Urban,140509,1753,217,21046,271,6248,7655,318,93820,9076,105
1264,India,29,Karnataka,549,Udupi,2011,Rural,174548,2040,158,39371,614,16299,113439,77,1281,1042,227
1265,India,29,Karnataka,549,Udupi,2011,Urban,71765,743,95,8534,208,6551,52404,90,728,2325,87
1266,India,29,Karnataka,550,Uttara Kannada,2011,Rural,226803,11496,474,83149,1109,21358,82564,85,22434,3793,341
1267,India,29,Karnataka,550,Uttara Kannada,2011,Urban,93109,1992,143,16690,520,11582,43222,102,12179,6522,157
1268,India,29,Karnataka,630,Chikkaballapura,2011,Rural,220309,3605,407,37337,818,17446,17045,247,138218,4782,404
1269,India,29,Karnataka,630,Chikkaballapura,2011,Urban,62002,335,94,5363,77,4111,3868,72,44286,3739,57
1270,India,29,Karnataka,631,Ramanagara,2011,Rural,200171,8130,325,64004,654,9506,9996,155,97784,9414,203
1271,India,29,Karnataka,631,Ramanagara,2011,Urban,59623,817,86,9939,127,5067,3627,107,35495,4322,36
1272,India,29,Karnataka,635,Yadgir,2011,Rural,161665,12761,546,14784,2011,55386,66631,651,5424,2376,1095
1273,India,29,Karnataka,635,Yadgir,2011,Urban,38759,1238,163,2837,341,10050,16668,347,6211,699,205
1274,India,30,Goa,551,North Goa,2011,Rural,57898.93468,971.3062754,250.5289141,11620.00129,351.064789,8128.001178,33634.1148,334.0385522,279.7167488,2153.413579,176.7485543
1275,India,30,Goa,551,North Goa,2011,Urban,85402.01241,655.1508944,241.1209103,7624.655627,469.5512463,8490.787318,55535.53913,905.7897354,1468.933967,9635.318481,375.1651005
1276,India,30,Goa,552,South Goa,2011,Rural,66775.06532,1366.693725,168.4710859,11240.99871,457.935211,8441.998822,40782.8852,281.9614478,1239.283251,2600.586421,194.2514457
1277,India,30,Goa,552,South Goa,2011,Urban,112736.9876,735.8491056,371.8790897,8244.344373,905.4487537,10608.21268,74196.46087,855.2102646,2663.066033,13786.68152,369.8348995
1278,India,31,Lakshadweep,553,Lakshadweep District,2011,Rural,2523,62,3,15,0,322,867,0,1241,10,3
1279,India,31,Lakshadweep,553,Lakshadweep District,2011,Urban,8180,116,9,7,16,456,3227,20,4255,64,10
1280,India,32,Kerala,554,Alappuzha,2011,Rural,245849,5920,2696,9544,9374,23243,79406,747,104228,8284,2407
1281,India,32,Kerala,554,Alappuzha,2011,Urban,282426,5832,2358,6154,14723,12356,71910,1136,158769,6987,2201
1282,India,32,Kerala,555,Ernakulam,2011,Rural,256310,2269,2547,14649,1058,39186,160166,196,26004,8224,2011
1283,India,32,Kerala,555,Ernakulam,2011,Urban,535427,1675,3082,14161,2072,36885,246301,868,202718,24010,3655
1284,India,32,Kerala,556,Idukki,2011,Rural,264649,4479,3233,40140,1589,24700,74912,786,91592,15110,8108
1285,India,32,Kerala,556,Idukki,2011,Urban,12327,49,28,1537,34,782,3218,5,5536,783,355
1286,India,32,Kerala,557,Kannur,2011,Rural,198846,1742,737,32365,738,29221,121705,241,9650,1308,1139
1287,India,32,Kerala,557,Kannur,2011,Urban,344363,734,209,36320,750,21816,280462,90,898,2012,1072
1288,India,32,Kerala,558,Kasaragod,2011,Rural,165969,3969,340,21947,586,32802,98839,263,5391,1065,767
1289,India,32,Kerala,558,Kasaragod,2011,Urban,101793,1025,71,3016,198,9309,86489,38,536,947,164
1290,India,32,Kerala,559,Kollam,2011,Rural,373677,4706,2732,53493,3991,45621,133080,740,113506,11744,4064
1291,India,32,Kerala,559,Kollam,2011,Urban,289599,4131,1515,14056,9734,23399,108523,1554,115858,8561,2268
1292,India,32,Kerala,560,Kottayam,2011,Rural,342707,2518,2606,27311,8215,34032,110566,842,125918,18720,11979
1293,India,32,Kerala,560,Kottayam,2011,Urban,137746,393,451,9101,1533,12009,50452,296,54551,6239,2721
1294,India,32,Kerala,561,Kozhikode,2011,Rural,232228,4732,1040,32836,810,27307,157341,159,4416,1350,2237
1295,India,32,Kerala,561,Kozhikode,2011,Urban,451597,5319,1133,16437,1802,35782,381864,285,3052,4725,1198
1296,India,32,Kerala,562,Malappuram,2011,Rural,437511,9812,1559,50954,1603,49287,307883,222,11238,2771,2182
1297,India,32,Kerala,562,Malappuram,2011,Urban,337084,4031,332,19233,781,26986,278271,170,3747,2626,907
1298,India,32,Kerala,563,Palakkad,2011,Rural,476318,17748,1125,125590,2147,34566,163725,649,120920,7451,2397
1299,India,32,Kerala,563,Palakkad,2011,Urban,151969,2741,285,31494,523,7763,39586,302,63023,5651,601
1300,India,32,Kerala,564,Pathanamthitta,2011,Rural,285389,1693,2411,36079,2246,31347,80241,603,110416,13189,7164
1301,India,32,Kerala,564,Pathanamthitta,2011,Urban,34579,89,177,2732,229,2767,9610,61,15997,2393,524
1302,India,32,Kerala,565,Thiruvananthapuram,2011,Rural,390607,13354,1880,97123,1469,45686,119121,842,91551,15856,3725
1303,India,32,Kerala,565,Thiruvananthapuram,2011,Urban,438167,7572,1081,65527,1090,34622,150094,850,146970,27632,2729
1304,India,32,Kerala,566,Thrissur,2011,Rural,246928,6753,792,43730,876,31290,103573,337,49795,7694,2088
1305,India,32,Kerala,566,Thrissur,2011,Urban,496902,13054,821,52501,1493,44845,217310,650,151004,12598,2626
1306,India,32,Kerala,567,Wayanad,2011,Rural,178686,3950,3187,30878,590,8967,25055,516,98578,2477,4488
1307,India,32,Kerala,567,Wayanad,2011,Urban,6717,24,77,726,34,255,1106,19,4342,43,91
1308,India,33,Tamil Nadu,568,Chennai,2011,Rural,778.1153867,48.03184348,1.344633677,161.5136715,1.77453432,31.40901863,245.040978,1.50465225,223.7823913,62.45023337,1.263430222
1309,India,33,Tamil Nadu,568,Chennai,2011,Urban,1612399.037,25535.10358,1668.994535,40235.35423,1638.093422,38472.92579,444389.779,7113.344413,676088.4181,374651.1418,2605.882681
1310,India,33,Tamil Nadu,569,Coimbatore,2011,Rural,237815.5179,13545.1605,339.8328208,42529.36036,1361.489916,17910.30827,55587.41024,656.8312727,96140.75412,6106.743537,3637.626853
1311,India,33,Tamil Nadu,569,Coimbatore,2011,Urban,710091.9002,12727.38272,599.0430934,84495.02807,1925.494559,15557.74187,83998.5206,3341.293186,458545.0249,41865.89559,7036.475613
1312,India,33,Tamil Nadu,570,Cuddalore,2011,Rural,425191,44838,749,141695,790,19385,118315,377,75682,21593,1767
1313,India,33,Tamil Nadu,570,Cuddalore,2011,Urban,212231,9837,262,31933,411,8297,83539,280,51062,26148,462
1314,India,33,Tamil Nadu,571,Dharmapuri,2011,Rural,315563,11402,349,122745,481,8251,33377,232,128487,9645,594
1315,India,33,Tamil Nadu,571,Dharmapuri,2011,Urban,65361,1508,62,14064,90,1294,6418,53,38860,2898,114
1316,India,33,Tamil Nadu,572,Dindigul,2011,Rural,352786.0228,24252.94039,469.0365936,87539.87038,1225.153345,11394.12264,39738.5756,837.080465,171482.6892,13755.91146,2090.642695
1317,India,33,Tamil Nadu,572,Dindigul,2011,Urban,210415,8573,180,40913,530,5014,18236,468,116532,19109,860
1318,India,33,Tamil Nadu,573,Erode,2011,Rural,324097,31590,495,56905,1792,24989,59376,825,130924,13683,3518
1319,India,33,Tamil Nadu,573,Erode,2011,Urban,335124.9225,17052.51089,276.6878099,41075.44929,1017.505131,11409.28421,45665.85698,897.2426283,190918.2351,22673.15333,4138.997098
1320,India,33,Tamil Nadu,574,Kanchipuram,2011,Rural,139907.7887,7354.635389,211.5533202,34019.03689,232.8665278,5460.128044,36564.38645,298.3849069,40979.37794,14314.97644,472.4427692
1321,India,33,Tamil Nadu,574,Kanchipuram,2011,Urban,147515.1249,3471.606454,104.5219808,7967.436027,172.3574386,4139.116588,39385.86668,450.6212551,62115.82115,29388.44304,319.3342637
1322,India,33,Tamil Nadu,575,Kanniyakumari,2011,Rural,86390,3469,115,21424,152,1637,3599,94,52269,3086,545
1323,India,33,Tamil Nadu,575,Kanniyakumari,2011,Urban,402811,9011,649,116011,1068,9227,20421,615,227107,15630,3072
1324,India,33,Tamil Nadu,576,Karur,2011,Rural,168830,11100,146,36750,570,3636,20393,357,87954,6058,1866
1325,India,33,Tamil Nadu,576,Karur,2011,Urban,119018,4114,70,10120,267,2791,13362,243,79006,7925,1120
1326,India,33,Tamil Nadu,577,Krishnagiri,2011,Rural,344807,10527,552,130541,918,8224,27581,311,148692,16952,509
1327,India,33,Tamil Nadu,577,Krishnagiri,2011,Urban,105255,1027,58,15362,105,2017,10733,121,68766,6907,159
1328,India,33,Tamil Nadu,578,Madurai,2011,Rural,319126,13626,390,97333,749,6527,20875,540,147313,30932,841
1329,India,33,Tamil Nadu,578,Madurai,2011,Urban,478813,4594,259,37220,606,6254,46296,966,291560,90374,684
1330,India,33,Tamil Nadu,579,Nagapattinam,2011,Rural,137379.7512,15540.30365,168.251319,40929.25773,670.0311365,8652.196617,47359.34728,48.86086284,17298.44495,6388.876474,324.181203
1331,India,33,Tamil Nadu,579,Nagapattinam,2011,Urban,45365.22771,2332.360671,45.20472554,6268.219302,123.9320565,2748.853647,19302.92572,35.04636025,9311.157625,5129.974471,67.55312918
1332,India,33,Tamil Nadu,580,Namakkal,2011,Rural,284156,13628,231,70308,585,8828,30714,576,146970,10216,2100
1333,India,33,Tamil Nadu,580,Namakkal,2011,Urban,193601,5311,122,29197,322,4109,19727,295,121812,11583,1123
1334,India,33,Tamil Nadu,581,Perambalur,2011,Rural,124419,6070,102,37346,201,2996,14177,132,57332,5531,532
1335,India,33,Tamil Nadu,581,Perambalur,2011,Urban,24982,1015,21,4661,16,527,2358,32,14599,1666,87
1336,India,33,Tamil Nadu,582,Pudukkottai,2011,Rural,312868,33622,455,86677,604,5838,27356,202,145413,11342,1359
1337,India,33,Tamil Nadu,582,Pudukkottai,2011,Urban,77760,3176,54,13560,240,1544,7415,50,44432,7109,180
1338,India,33,Tamil Nadu,583,Ramanathapuram,2011,Rural,232147,24299,231,63723,564,6350,41650,128,82662,12128,412
1339,India,33,Tamil Nadu,583,Ramanathapuram,2011,Urban,96808,7219,69,10548,142,2397,22917,103,43212,10044,157
1340,India,33,Tamil Nadu,584,Salem,2011,Rural,454964,18452,443,121529,1097,24713,48693,559,215216,22662,1600
